trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
389,False,"{'a': 0.99, 'e': 0.02004890686806079}",20,16,10.129080308775539,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
390,False,"{'a': 0.99, 'e': 0.019848417799380184}",30,17,25.980913092489367,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.99, 'e': 0.01964993362138638}",20,14,13.26414653632062,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.99, 'e': 0.019453434285172516}",25,2,11.402365407350661,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 0}",1
393,False,"{'a': 0.99, 'e': 0.01925889994232079}",20,11,17.900978626073968,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.99, 'e': 0.019066310942897582}",20,13,17.0961786425961,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.99, 'e': 0.01887564783346861}",20,10,22.431519018265718,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.99, 'e': 0.018686891355133923}",25,19,14.493557176010167,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.99, 'e': 0.01850002244158258}",25,8,31.031055418872224,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.99, 'e': 0.018315022217166757}",35,18,35.48833064595385,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.99, 'e': 0.018131871994995087}",20,6,21.829400106191304,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.99, 'e': 0.017950553275045137}",20,13,11.826471917667469,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.99, 'e': 0.017771047742294686}",25,14,22.878768888714003,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.99, 'e': 0.01759333726487174}",30,10,16.229550832167675,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
403,False,"{'a': 0.99, 'e': 0.017417403892223023}",20,11,15.710050136771818,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.99, 'e': 0.01724322985330079}",20,6,23.227388651859442,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.99, 'e': 0.017070797554767782}",30,18,21.830033546542285,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.99, 'e': 0.016900089579220106}",20,12,14.850645784735008,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.99, 'e': 0.016731088683427903}",25,12,20.401766723971868,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.99, 'e': 0.016563777796593626}",30,8,36.66331845185688,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.99, 'e': 0.016398140018627688}",25,11,30.82763180640827,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.99, 'e': 0.01623415861844141}",25,13,11.698916146915,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
411,False,"{'a': 0.99, 'e': 0.016071817032256998}",20,15,10.245748449409042,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.99, 'e': 0.015911098861934425}",30,14,29.374779504905376,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
